vid_id,blink_count,frames,age_grp,gender,time_of_day,bpf,label
115,0,320,4,0,2,0.0,0
116,27,327,2,1,4,0.0825688073394495,0
117,65,548,0,1,0,0.1186131386861313,0
118,58,352,0,1,3,0.1647727272727272,0
119,13,502,3,1,4,0.0258964143426294,0
120,18,405,2,1,4,0.0444444444444444,0
121,8,553,3,1,1,0.0144665461121157,0
122,8,309,1,1,2,0.0258899676375404,0
123,34,514,2,1,4,0.0661478599221789,0
124,26,318,2,1,4,0.0817610062893081,0
125,43,500,0,1,4,0.086,0
126,101,328,1,1,3,0.3079268292682927,0
127,55,864,2,0,4,0.0636574074074074,0
128,305,735,2,0,4,0.4149659863945578,0
129,8,330,3,0,4,0.0242424242424242,0
130,20,662,1,1,4,0.0302114803625377,0
131,10,306,3,0,4,0.0326797385620915,0
132,12,413,2,1,1,0.0290556900726392,0
133,11,767,2,0,4,0.014341590612777,0
134,14,346,1,1,4,0.0404624277456647,0
135,37,327,0,1,4,0.1131498470948012,0
136,339,611,1,1,1,0.5548281505728314,0
137,68,606,1,1,4,0.1122112211221122,0
138,19,410,1,1,4,0.0463414634146341,0
139,29,378,1,1,4,0.0767195767195767,0
140,373,485,2,0,4,0.7690721649484537,0
141,32,508,2,1,4,0.0629921259842519,0
142,96,962,2,1,4,0.0997920997920998,0
143,109,414,3,0,4,0.2632850241545894,0
144,17,344,1,1,0,0.0494186046511627,0
145,7,475,1,1,4,0.0147368421052631,0
146,168,1003,3,1,1,0.1674975074775673,0
147,13,667,3,0,2,0.0194902548725637,0
148,55,475,4,1,4,0.1157894736842105,0
149,42,363,2,1,0,0.1157024793388429,0
150,9,456,3,0,4,0.0197368421052631,0
151,10,347,2,1,4,0.0288184438040345,0
152,35,313,0,1,4,0.1118210862619808,0
153,50,732,1,0,4,0.0683060109289617,0
154,43,594,2,1,2,0.0723905723905724,0
155,72,829,1,1,4,0.0868516284680337,0
156,518,518,3,0,4,1.0,0
157,28,486,2,0,4,0.0576131687242798,0
158,203,444,1,1,4,0.4572072072072072,0
159,36,325,1,0,0,0.1107692307692307,0
160,7,534,2,0,0,0.0131086142322097,0
161,38,369,1,1,4,0.1029810298102981,0
162,123,685,1,1,0,0.1795620437956204,0
163,54,304,1,0,4,0.1776315789473684,0
164,70,1021,3,0,4,0.068560235063663,0
165,213,387,2,1,4,0.5503875968992248,0
166,35,756,2,1,0,0.0462962962962962,0
167,2,341,2,1,2,0.0058651026392961,0
168,277,1228,1,1,4,0.2255700325732899,0
169,80,649,2,1,4,0.12326656394453,0
170,29,504,3,1,1,0.0575396825396825,0
171,47,541,4,0,4,0.0868761552680221,0
172,81,752,4,0,4,0.1077127659574468,0
173,120,721,0,0,0,0.1664355062413315,0
174,2,414,2,1,2,0.0048309178743961,0
175,199,504,2,0,4,0.3948412698412698,0
176,38,376,0,1,0,0.101063829787234,0
177,46,410,1,1,1,0.1121951219512195,0
178,39,521,3,1,4,0.0748560460652591,0
179,203,1260,3,0,4,0.1611111111111111,0
180,26,569,3,0,4,0.0456942003514938,0
181,34,478,2,0,4,0.0711297071129707,0
182,62,620,2,1,3,0.1,0
183,64,390,3,0,4,0.1641025641025641,0
184,676,1254,3,1,4,0.5390749601275917,0
185,35,875,3,0,4,0.04,0
186,90,334,3,1,4,0.2694610778443114,0
187,198,986,2,0,0,0.2008113590263691,0
188,11,310,2,1,3,0.0354838709677419,0
189,64,512,2,1,4,0.125,0
190,25,331,1,1,1,0.0755287009063444,0
191,24,372,2,1,4,0.064516129032258,0
192,30,287,1,1,4,0.1045296167247386,0
193,45,372,1,1,1,0.1209677419354838,0
194,53,567,2,0,4,0.0934744268077601,0
195,31,333,2,0,4,0.093093093093093,0
196,27,426,3,0,2,0.0633802816901408,0
197,56,880,3,0,4,0.0636363636363636,0
198,27,392,2,0,4,0.0688775510204081,0
199,29,368,1,0,2,0.0788043478260869,0
200,77,719,2,1,4,0.1070931849791377,0
201,32,863,2,1,4,0.0370799536500579,0
202,268,323,2,1,4,0.8297213622291022,0
203,24,446,2,1,4,0.0538116591928251,0
204,113,515,2,1,1,0.2194174757281553,0
205,43,307,3,1,4,0.1400651465798045,0
206,5,714,1,1,4,0.0070028011204481,0
207,13,346,1,1,1,0.0375722543352601,0
208,38,465,2,1,4,0.0817204301075268,0
209,29,337,3,0,4,0.086053412462908,0
210,194,839,4,0,3,0.2312276519666269,0
211,74,527,2,1,4,0.1404174573055028,0
212,11,415,2,0,4,0.0265060240963855,0
213,41,378,3,1,2,0.1084656084656084,0
214,35,462,1,1,1,0.0757575757575757,0
215,21,588,2,1,4,0.0357142857142857,0
216,31,476,3,0,4,0.065126050420168,0
217,296,702,1,1,3,0.4216524216524216,0
218,50,353,3,0,1,0.141643059490085,0
219,50,350,2,1,3,0.1428571428571428,0
220,9,357,2,1,4,0.0252100840336134,0
221,718,718,2,1,4,1.0,0
222,18,407,2,1,4,0.0442260442260442,0
223,53,336,3,1,2,0.1577380952380952,0
224,28,488,1,0,4,0.0573770491803278,0
225,15,304,1,1,4,0.0493421052631578,0
226,69,328,4,1,4,0.2103658536585365,0
227,121,441,2,1,4,0.2743764172335601,0
228,0,556,1,0,4,0.0,0
229,43,392,3,1,4,0.1096938775510204,0
230,33,372,4,1,4,0.0887096774193548,0
231,69,573,2,1,4,0.1204188481675392,0
232,12,574,3,1,4,0.0209059233449477,0
233,589,675,2,1,4,0.8725925925925926,0
234,14,528,1,0,0,0.0265151515151515,0
235,36,312,1,0,3,0.1153846153846153,0
236,17,651,2,0,4,0.0261136712749615,0
237,757,757,3,0,4,1.0,0
238,17,622,2,1,4,0.0273311897106109,0
239,54,588,3,0,4,0.0918367346938775,0
240,195,1274,3,1,4,0.1530612244897959,0
241,9,292,3,0,4,0.0308219178082191,0
242,18,331,3,1,4,0.0543806646525679,0
243,100,387,2,0,4,0.2583979328165374,0
244,17,557,2,1,4,0.0305206463195691,0
245,14,334,1,0,4,0.0419161676646706,0
246,32,496,2,1,4,0.064516129032258,0
247,39,399,2,1,4,0.0977443609022556,0
248,29,496,3,1,4,0.0584677419354838,0
249,66,632,0,1,0,0.1044303797468354,0
250,163,564,1,1,4,0.2890070921985815,0
251,22,346,3,1,4,0.0635838150289017,0
252,59,572,3,0,4,0.1031468531468531,0
253,29,501,0,0,0,0.0578842315369261,0
254,420,427,3,1,4,0.9836065573770492,0
255,48,470,0,1,1,0.102127659574468,0
256,29,546,1,1,2,0.0531135531135531,0
257,71,763,1,1,4,0.0930537352555701,0
258,54,498,2,1,4,0.108433734939759,0
259,79,444,3,0,4,0.1779279279279279,0
260,99,302,3,1,2,0.3278145695364238,0
261,76,677,3,1,4,0.1122599704579025,0
262,37,397,2,1,4,0.0931989924433249,0
263,92,300,2,1,0,0.3066666666666666,0
264,57,455,1,1,4,0.1252747252747252,0
265,1,552,2,1,0,0.0018115942028985,0
266,108,465,1,0,3,0.232258064516129,0
267,28,306,2,0,1,0.0915032679738562,0
268,8,1465,4,0,4,0.0054607508532423,0
269,97,387,3,0,4,0.2506459948320413,0
270,10,311,1,0,4,0.0321543408360128,0
271,43,490,1,1,4,0.0877551020408163,0
272,130,323,1,1,4,0.4024767801857585,0
273,13,322,3,0,4,0.0403726708074534,0
274,18,474,2,1,1,0.0379746835443038,0
275,74,424,2,1,0,0.1745283018867924,0
276,12,331,3,0,3,0.0362537764350453,0
277,41,966,3,0,2,0.0424430641821946,0
278,35,449,2,0,4,0.0779510022271715,0
279,29,906,4,0,4,0.032008830022075,0
280,36,606,3,1,3,0.0594059405940594,0
281,308,309,1,1,4,0.9967637540453076,0
282,428,594,2,1,4,0.7205387205387206,0
283,83,966,3,0,4,0.0859213250517598,0
284,32,483,2,1,3,0.0662525879917184,0
285,19,383,1,1,4,0.0496083550913838,0
286,74,668,2,0,4,0.1107784431137724,0
287,42,475,1,1,3,0.0884210526315789,0
288,31,543,2,1,4,0.0570902394106814,0
289,34,597,3,0,4,0.0569514237855946,0
290,78,422,2,1,3,0.1848341232227488,0
291,17,330,1,0,1,0.0515151515151515,0
292,33,425,2,1,4,0.0776470588235294,0
293,83,758,2,1,2,0.1094986807387862,0
294,48,604,3,1,4,0.0794701986754966,0
295,6,411,4,1,1,0.0145985401459854,0
296,52,336,3,1,4,0.1547619047619047,0
297,50,390,2,0,4,0.1282051282051282,0
298,47,569,3,0,4,0.0826010544815465,0
299,29,314,4,1,4,0.0923566878980891,0
300,66,598,2,0,2,0.1103678929765886,0
301,121,763,2,1,4,0.1585845347313237,0
302,106,875,4,1,4,0.1211428571428571,0
303,60,571,1,1,4,0.1050788091068301,0
304,29,610,1,0,3,0.0475409836065573,0
305,11,843,3,0,2,0.0130486358244365,0
306,108,728,2,0,4,0.1483516483516483,0
307,2,378,4,0,1,0.0052910052910052,0
308,139,502,2,1,4,0.2768924302788844,0
309,56,850,2,1,4,0.0658823529411764,0
310,123,375,2,0,1,0.328,0
311,44,368,3,0,4,0.1195652173913043,0
312,33,428,1,1,4,0.0771028037383177,0
313,96,481,3,0,4,0.1995841995841996,0
314,5,413,3,0,4,0.0121065375302663,0
315,0,304,2,1,3,0.0,0
316,19,566,2,1,4,0.0335689045936395,0
317,34,682,3,1,4,0.0498533724340175,0
318,306,475,2,1,4,0.6442105263157895,0
319,21,717,4,0,4,0.0292887029288702,0
320,110,504,2,1,0,0.2182539682539682,0
321,18,567,2,1,4,0.0317460317460317,0
322,43,313,4,1,4,0.1373801916932907,0
323,7,456,2,1,4,0.0153508771929824,0
324,74,1249,4,0,4,0.0592473979183346,0
325,156,1421,4,0,4,0.1097818437719915,0
326,166,914,2,0,4,0.1816192560175054,0
327,25,495,2,1,4,0.0505050505050505,0
328,51,319,1,1,0,0.1598746081504702,0
329,8,415,2,1,4,0.0192771084337349,0
330,33,407,3,1,0,0.081081081081081,0
331,194,469,3,1,4,0.4136460554371002,0
332,26,695,2,1,1,0.037410071942446,0
333,367,429,3,0,4,0.8554778554778555,0
334,61,1339,2,1,4,0.0455563853622106,0
335,32,384,3,0,1,0.0833333333333333,0
336,309,507,2,1,4,0.6094674556213018,0
337,48,331,1,0,3,0.1450151057401812,0
338,347,889,3,1,4,0.390326209223847,0
339,125,457,3,1,3,0.2735229759299781,0
340,18,293,1,1,4,0.0614334470989761,0
341,66,827,2,1,0,0.0798065296251511,0
342,11,302,2,0,4,0.0364238410596026,0
343,70,299,4,0,1,0.2341137123745819,0
344,0,631,2,1,4,0.0,0
345,187,423,2,1,4,0.442080378250591,0
346,49,615,3,0,2,0.0796747967479674,0
347,36,458,3,0,4,0.0786026200873362,0
348,8,414,2,1,4,0.0193236714975845,0
349,347,471,2,1,4,0.7367303609341825,0
350,24,405,1,1,1,0.0592592592592592,0
351,18,684,4,0,4,0.0263157894736842,0
352,40,421,3,0,3,0.0950118764845605,0
353,48,358,4,0,4,0.1340782122905028,0
354,46,460,3,1,4,0.1,0
355,139,499,2,1,1,0.2785571142284569,0
356,175,558,2,0,1,0.3136200716845878,0
357,54,346,4,0,4,0.1560693641618497,0
358,40,534,4,0,4,0.0749063670411985,0
359,36,456,1,1,0,0.0789473684210526,0
360,136,385,0,1,0,0.3532467532467532,0
361,105,455,1,0,1,0.2307692307692307,0
362,42,455,2,1,4,0.0923076923076923,0
363,28,473,2,0,2,0.0591966173361522,0
364,63,648,3,0,4,0.0972222222222222,0
365,23,369,3,0,4,0.062330623306233,0
366,8,404,2,1,4,0.0198019801980198,0
367,9,649,2,1,3,0.0138674884437596,0
368,244,761,3,1,0,0.3206307490144546,0
369,35,320,0,1,4,0.109375,0
370,137,396,2,1,4,0.3459595959595959,0
371,35,718,1,1,4,0.0487465181058495,0
372,55,486,1,1,2,0.1131687242798353,0
373,75,602,2,0,0,0.1245847176079734,0
374,300,586,1,0,1,0.5119453924914675,0
375,20,353,0,1,4,0.0566572237960339,0
376,464,515,3,1,4,0.9009708737864076,0
377,26,398,4,0,4,0.0653266331658291,0
378,211,761,0,1,0,0.2772667542706964,0
379,54,341,1,1,2,0.158357771260997,0
380,7,455,4,0,4,0.0153846153846153,0
381,13,578,2,1,4,0.0224913494809688,0
382,6,313,1,0,4,0.0191693290734824,0
383,32,465,3,0,4,0.0688172043010752,0
384,36,462,0,0,4,0.0779220779220779,0
385,18,349,1,1,1,0.0515759312320916,0
386,32,449,0,1,3,0.0712694877505567,0
387,6,528,0,0,2,0.0113636363636363,0
388,2,636,3,1,4,0.0031446540880503,0
389,19,314,2,1,4,0.0605095541401273,0
390,97,809,1,1,2,0.1199011124845488,0
391,21,547,1,1,4,0.0383912248628884,0
392,25,1496,3,1,4,0.016711229946524,0
393,41,579,0,0,4,0.0708117443868739,0
394,11,420,3,0,0,0.0261904761904761,0
395,55,448,3,0,1,0.1227678571428571,0
396,41,525,1,1,4,0.078095238095238,0
397,30,355,3,1,3,0.0845070422535211,0
398,140,582,3,1,3,0.2405498281786941,0
399,213,862,3,1,0,0.2470997679814385,0
400,38,357,2,1,4,0.1064425770308123,0
401,70,492,3,0,3,0.1422764227642276,0
402,23,423,3,1,4,0.0543735224586288,0
403,707,707,3,1,1,1.0,0
404,53,798,2,0,2,0.0664160401002506,0
405,6,531,2,0,3,0.0112994350282485,0
406,20,512,3,1,4,0.0390625,0
407,50,504,4,0,4,0.0992063492063492,0
408,17,306,1,0,3,0.0555555555555555,0
409,34,361,1,0,4,0.0941828254847645,0
410,89,459,1,1,2,0.1938997821350762,0
411,70,529,1,1,1,0.1323251417769376,0
412,46,572,2,1,4,0.0804195804195804,0
413,14,379,3,1,4,0.0369393139841688,0
414,106,587,1,1,1,0.1805792163543441,0
415,225,563,1,0,4,0.3996447602131439,0
416,62,313,3,0,1,0.1980830670926517,0
417,56,861,2,1,4,0.065040650406504,0
418,12,319,2,1,3,0.0376175548589341,0
419,53,487,1,0,2,0.108829568788501,0
420,79,1126,2,0,4,0.0701598579040852,0
421,89,1038,1,1,4,0.0857418111753371,0
422,27,316,1,0,3,0.0854430379746835,0
423,230,1814,1,1,2,0.1267916207276736,0
424,20,311,3,0,4,0.0643086816720257,0
425,133,336,3,1,4,0.3958333333333333,0
426,0,335,0,1,1,0.0,0
427,468,468,3,1,4,1.0,0
428,49,540,1,1,3,0.0907407407407407,0
429,20,457,3,0,2,0.0437636761487965,0
430,19,357,0,1,2,0.0532212885154061,0
431,65,616,1,0,4,0.1055194805194805,0
432,18,360,3,0,1,0.05,0
433,27,532,3,0,1,0.0507518796992481,0
434,69,337,2,1,3,0.2047477744807121,0
435,60,476,3,0,4,0.1260504201680672,0
436,16,518,1,1,3,0.0308880308880308,0
437,56,593,1,1,2,0.0944350758853288,0
438,20,542,2,1,2,0.03690036900369,0
439,23,462,3,1,1,0.0497835497835497,0
440,37,419,3,0,1,0.0883054892601432,0
441,11,305,1,1,3,0.0360655737704918,0
442,28,355,0,0,2,0.0788732394366197,0
443,702,1146,3,0,4,0.612565445026178,0
444,92,437,3,0,4,0.2105263157894736,0
445,294,1053,4,0,3,0.2792022792022792,0
446,239,423,0,1,3,0.5650118203309693,0
447,37,326,3,0,2,0.1134969325153374,0
448,15,528,4,0,4,0.0284090909090909,0
449,17,306,3,0,4,0.0555555555555555,0
450,72,774,2,1,0,0.0930232558139534,0
451,81,383,3,0,2,0.2114882506527415,0
452,23,606,4,0,4,0.0379537953795379,0
453,95,645,2,1,0,0.1472868217054263,0
454,26,384,2,1,0,0.0677083333333333,0
455,18,370,3,1,2,0.0486486486486486,0
456,608,608,3,0,2,1.0,0
457,32,528,3,1,3,0.0606060606060606,0
458,21,351,2,1,0,0.0598290598290598,0
459,129,526,0,1,0,0.2452471482889733,0
460,46,640,0,1,1,0.071875,0
461,9,612,1,1,4,0.0147058823529411,0
462,29,585,3,1,1,0.0495726495726495,0
463,91,315,2,0,4,0.2888888888888888,0
464,61,404,2,0,4,0.1509900990099009,0
465,40,329,0,1,1,0.121580547112462,0
466,48,334,3,1,2,0.1437125748502994,0
467,47,423,3,1,4,0.1111111111111111,0
468,57,597,3,0,4,0.0954773869346733,0
469,124,414,0,1,3,0.2995169082125604,0
470,49,905,2,1,3,0.0541436464088397,0
471,38,540,1,1,4,0.0703703703703703,0
472,6,479,3,1,4,0.0125260960334029,0
473,56,574,2,1,4,0.0975609756097561,0
474,12,296,2,1,4,0.0405405405405405,0
475,43,337,2,1,3,0.1275964391691394,0
476,28,310,2,1,3,0.0903225806451612,0
477,37,365,2,1,2,0.1013698630136986,0
478,31,749,3,1,4,0.041388518024032,0
479,7,488,3,1,0,0.0143442622950819,0
480,5,485,3,1,4,0.0103092783505154,0
481,17,414,3,1,4,0.0410628019323671,0
482,167,354,2,1,3,0.4717514124293785,0
483,40,375,3,1,4,0.1066666666666666,0
484,26,319,4,0,4,0.0815047021943573,0
485,86,803,1,1,3,0.1070983810709838,0
486,13,564,3,1,4,0.0230496453900709,0
487,52,319,3,1,1,0.1630094043887147,0
488,33,518,1,1,3,0.0637065637065637,0
489,108,566,3,0,4,0.1908127208480565,0
490,115,635,2,1,0,0.1811023622047244,0
491,417,427,2,0,4,0.9765807962529274,0
492,3,347,3,0,4,0.0086455331412103,0
493,35,395,1,1,3,0.0886075949367088,0
494,69,802,2,0,2,0.0860349127182044,0
495,40,573,4,0,3,0.0698080279232111,0
496,313,1496,3,1,4,0.2092245989304813,0
497,91,621,1,1,1,0.1465378421900161,0
498,7,317,3,0,4,0.0220820189274447,0
499,78,514,3,0,4,0.1517509727626459,0
500,9,292,1,1,4,0.0308219178082191,0
501,33,522,1,0,4,0.0632183908045977,0
502,25,317,1,0,0,0.0788643533123028,0
503,3,674,1,1,4,0.0044510385756676,0
504,30,317,2,0,4,0.0946372239747634,0
505,0,543,2,0,4,0.0,0
506,81,668,1,1,4,0.1212574850299401,0
507,113,469,2,1,4,0.2409381663113006,0
508,25,603,1,1,4,0.0414593698175787,0
509,125,563,2,0,4,0.2220248667850799,0
510,27,340,1,0,4,0.0794117647058823,0
511,34,809,2,1,4,0.042027194066749,0
512,173,750,2,0,4,0.2306666666666666,0
513,30,494,1,0,4,0.0607287449392712,0
514,39,361,3,0,4,0.1080332409972299,0
515,103,766,1,0,0,0.1344647519582245,0
516,11,354,1,1,4,0.0310734463276836,0
517,33,373,1,1,4,0.0884718498659517,0
518,11,295,1,0,4,0.0372881355932203,0
519,76,751,2,0,4,0.1011984021304926,0
520,47,350,0,1,4,0.1342857142857142,0
521,10,304,1,1,4,0.0328947368421052,0
522,87,713,1,0,4,0.1220196353436185,0
523,4,375,1,0,4,0.0106666666666666,0
524,26,527,2,1,4,0.0493358633776091,0
525,2,517,2,0,4,0.0038684719535783,0
526,49,838,1,1,4,0.058472553699284,0
527,22,342,3,1,4,0.0643274853801169,0
528,63,377,1,0,4,0.1671087533156498,0
529,11,335,1,1,4,0.0328358208955223,0
530,31,716,3,0,4,0.0432960893854748,0
531,49,319,0,1,4,0.1536050156739812,0
532,77,391,2,1,4,0.1969309462915601,0
533,47,558,0,1,4,0.0842293906810035,0
534,179,384,1,1,4,0.4661458333333333,0
535,61,667,1,1,4,0.0914542728635682,0
536,37,603,1,1,4,0.0613598673300165,0
537,69,385,1,1,2,0.1792207792207792,0
538,29,596,1,1,4,0.0486577181208053,0
539,64,313,2,0,4,0.2044728434504792,0
540,44,957,1,1,4,0.0459770114942528,0
541,49,390,1,0,4,0.1256410256410256,0
542,35,320,1,1,4,0.109375,0
543,188,718,2,0,4,0.2618384401114206,0
544,24,355,1,1,0,0.0676056338028169,0
545,121,436,1,1,4,0.2775229357798165,0
546,109,714,1,1,3,0.1526610644257703,0
547,496,496,2,0,4,1.0,0
548,8,573,1,0,4,0.0139616055846422,0
549,135,624,1,1,4,0.2163461538461538,0
550,15,444,3,0,4,0.0337837837837837,0
551,713,727,2,0,4,0.9807427785419532,0
552,8,303,2,0,4,0.0264026402640264,0
553,7,364,1,1,4,0.0192307692307692,0
554,201,828,3,0,4,0.2427536231884058,0
555,208,572,1,1,4,0.3636363636363636,0
556,39,372,1,1,4,0.1048387096774193,0
557,36,509,2,0,4,0.0707269155206286,0
558,44,535,1,1,4,0.0822429906542056,0
559,30,334,3,0,4,0.0898203592814371,0
560,24,349,2,0,4,0.0687679083094555,0
561,48,416,2,1,4,0.1153846153846153,0
562,16,467,3,0,4,0.0342612419700214,0
563,50,390,1,1,4,0.1282051282051282,0
564,102,648,2,0,4,0.1574074074074074,0
565,127,430,1,1,2,0.2953488372093023,0
566,38,723,1,1,4,0.0525587828492392,0
567,323,340,2,1,4,0.95,0
568,38,570,1,0,4,0.0666666666666666,0
569,15,335,1,0,4,0.044776119402985,0
570,16,430,1,1,0,0.0372093023255813,0
571,61,576,1,0,4,0.1059027777777777,0
572,12,347,2,0,4,0.0345821325648415,0
573,61,613,2,0,4,0.099510603588907,0
574,25,507,2,0,2,0.04930966469428,0
575,43,557,1,1,4,0.0771992818671454,0
576,27,461,1,1,4,0.0585683297180043,0
577,79,344,1,1,4,0.2296511627906976,0
578,2,564,1,1,4,0.0035460992907801,0
579,33,476,3,0,4,0.0693277310924369,0
580,83,292,1,1,4,0.2842465753424658,0
581,88,382,1,0,4,0.2303664921465968,0
582,1,431,1,0,4,0.0023201856148491,0
583,26,475,2,1,4,0.0547368421052631,0
584,4,475,1,0,4,0.0084210526315789,0
585,46,359,1,1,4,0.128133704735376,0
586,16,379,1,1,4,0.0422163588390501,0
587,8,626,2,1,4,0.0127795527156549,0
588,45,544,1,1,4,0.0827205882352941,0
589,19,686,1,1,4,0.0276967930029154,0
590,43,600,1,1,4,0.0716666666666666,0
591,68,541,1,0,4,0.1256931608133087,0
592,48,383,2,1,4,0.1253263707571801,0
593,37,535,1,1,4,0.0691588785046729,0
594,18,294,2,0,4,0.0612244897959183,0
595,36,565,1,1,4,0.063716814159292,0
596,13,557,1,1,0,0.0233393177737881,0
597,16,297,1,1,4,0.0538720538720538,0
598,86,686,1,1,4,0.1253644314868804,0
599,63,398,2,1,4,0.1582914572864321,0
600,18,388,2,0,4,0.0463917525773195,0
601,14,364,1,0,4,0.0384615384615384,0
602,43,667,1,1,4,0.0644677661169415,0
603,40,296,1,1,4,0.1351351351351351,0
604,70,825,1,1,4,0.0848484848484848,0
605,74,664,3,0,4,0.1114457831325301,0
606,30,387,1,1,4,0.0775193798449612,0
607,82,454,0,1,4,0.1806167400881057,0
608,92,1205,2,0,4,0.0763485477178423,0
609,50,489,1,1,3,0.1022494887525562,0
610,53,394,3,1,4,0.1345177664974619,0
611,75,645,1,1,4,0.1162790697674418,0
